"Story","Title","Result","Date","Stability","Duration (s)"
"Automatizacion de API TAREA","Retrasar respuesta del sistema en <id> segundos","SUCCESS","2022-04-20T00:14:39.207-05:00[America/Bogota]","0.0","55.2"
"Automatizacion de API TAREA","Retrasar respuesta del sistema en <id> segundos - No hace retraso 200","SUCCESS","2022-04-20T00:15:34.413-05:00[America/Bogota]","0.0","2.3"
"Automatizacion de API TAREA","Obtener usuario único por un id en específico con","SUCCESS","2022-04-20T00:15:36.712-05:00[America/Bogota]","0.0","0.65"
"Automatizacion de API TAREA","Obtener usuario único por un id en específico con","SUCCESS","2022-04-20T00:15:37.366-05:00[America/Bogota]","0.0","2.27"
"Automatizacion de API TAREA","Obtener recurso único por un id para el <id>","SUCCESS","2022-04-20T00:15:39.64-05:00[America/Bogota]","0.0","0.53"
"Automatizacion de API TAREA","Obtener recurso único por un id para el <id> - ERROR 404","SUCCESS","2022-04-20T00:15:40.166-05:00[America/Bogota]","0.0","2.16"
"Automatizacion de API TAREA","Crear Elemento mediante api","SUCCESS","2022-04-20T00:15:42.324-05:00[America/Bogota]","0.0","2.4"
"Automatizacion de API TAREA","Crear Elemento mediante api - Key ""<name>"" sin contenido en el resultado 201","SUCCESS","2022-04-20T00:15:44.726-05:00[America/Bogota]","0.0","2.13"
"Automatizacion de API TAREA","Crear registro mediante api","SUCCESS","2022-04-20T00:15:46.86-05:00[America/Bogota]","0.0","2.03"
"Automatizacion de API TAREA","Crear registro mediante api - Password no encontrado 400","SUCCESS","2022-04-20T00:15:48.892-05:00[America/Bogota]","0.0","1.96"
"Automatizacion de API TAREA","Crear login mediante api","SUCCESS","2022-04-20T00:15:50.853-05:00[America/Bogota]","0.0","2.45"
"Automatizacion de API TAREA","Crear login mediante api - Password no encontrado 400","SUCCESS","2022-04-20T00:15:53.306-05:00[America/Bogota]","0.0","2.07"
